ano,cbo_familia,n,min_h,p10,p25,p50,p75,p90,max_h,mean_h,n_ate30,n_eq36,n_37a43,n_eq44,n_acima44
2005,4110,4313423,1,30,40,44,44,44,44,40.56479135016432,452340,171156,1187319,2476156,0
2006,4110,4592578,1,30,40,44,44,44,44,40.579924173307425,484235,158488,1278958,2646181,0
2007,4110,4866696,1,30,40,44,44,44,44,40.59811913462443,527363,177330,1276738,2858488,0
2008,4110,5468558,1,30,40,44,44,44,44,40.584826932438176,638849,221022,1391128,3186275,0
2009,4110,5520144,1,30,40,44,44,44,44,40.643627231463476,628545,221145,1337198,3288600,0
2012,4110,6392519,1,30,40,44,44,44,44,40.404685383023484,798272,228634,1460887,3857038,0
2005,4212,18798,1,44,44,44,44,44,44,43.13384402596021,431,735,167,17415,0
2006,4212,19692,1,44,44,44,44,44,44,43.24725776965265,414,615,177,18432,0
2007,4212,20034,1,44,44,44,44,44,44,43.32315064390536,400,451,215,18911,0
2008,4212,21382,1,44,44,44,44,44,44,43.38410812833224,383,433,165,20332,0
2009,4212,23174,1,44,44,44,44,44,44,43.42306032622767,396,417,157,22119,0
2012,4212,30902,1,44,44,44,44,44,44,43.40327486894052,514,515,230,29546,0
2005,4221,658765,1,36,44,44,44,44,44,42.25102274711013,32578,44009,40388,538458,0
2006,4221,703277,1,36,44,44,44,44,44,42.2665507332104,33826,45803,44081,575902,0
2007,4221,747463,1,36,44,44,44,44,44,42.33585073776222,33263,49835,48379,612372,0
2008,4221,826663,1,36,44,44,44,44,44,42.34212853363461,35629,56395,53123,677211,0
2009,4221,857971,1,36,44,44,44,44,44,42.323981812905075,38388,58532,56023,700904,0
2012,4221,1050193,1,36,44,44,44,44,44,42.33927763753901,41160,74587,74979,853465,0
2005,4222,100631,1,30,36,36,44,44,44,37.578797785970536,18387,36256,9023,35478,0
2006,4222,106055,1,30,36,36,44,44,44,37.74342558106644,17625,40110,9747,37406,0
2007,4222,111951,1,30,36,36,44,44,44,37.618895766898,17563,45253,8969,38757,0
2008,4222,119818,1,30,36,36,44,44,44,37.63562236058023,18712,48482,9570,41784,0
2009,4222,122843,1,30,36,36,44,44,44,37.68859438470243,19138,49124,9521,43736,0
2012,4222,203671,1,30,36,36,40,44,44,36.71606659760102,30035,117342,9519,45068,0
2005,4223,431905,1,30,36,36,36,44,44,36.215433949595386,46803,320929,5625,56152,0
2006,4223,475810,1,30,36,36,36,44,44,36.19423719551928,50972,357874,5214,59105,0
2007,4223,569114,1,30,36,36,36,44,44,36.14382707155335,57164,441935,5824,61357,0
2008,4223,677999,1,36,36,36,36,40,44,36.17351795504125,53915,545203,5676,64765,0
2009,4223,687033,1,36,36,36,36,40,44,36.20102382272756,50386,555892,7166,63693,0
2012,4223,868804,1,30,36,36,36,40,44,36.0132596074603,93171,674762,10138,80233,0
