ano,cbo_familia,n,mean_h,p10,p50,p90,n_ate30,n_eq36,n_eq40,n_eq44
2003,2232,48170,27.994062694623207,20,24,44,32971,1459,7417,5941
2004,2232,49650,28.216052366565954,20,24,44,33435,1514,8001,6351
2005,2232,54030,28.57442161761984,20,24,44,35142,2014,9195,7335
2006,2232,56468,28.921229723028976,20,24,44,35539,1858,10206,8331
2007,2232,58542,29.12259574322708,20,24,44,36006,1827,11877,8340
2008,2232,62426,29.265578444878752,20,25,44,38044,2093,12187,9491
2009,2232,66912,29.40705703012914,20,30,44,40319,2265,13869,9765
2010,2232,69139,29.690015765342274,20,30,44,40274,2163,16079,9964
2011,2232,72480,29.846454194260474,20,30,44,42797,1962,17753,9319
2012,2232,74036,29.618915122372897,20,30,44,43192,2029,18452,9700
2013,2232,75990,29.942216081063293,20,30,44,42770,1896,20285,10270
2014,2232,74550,29.856297786720326,20,30,44,42144,1722,20647,9278
2015,2232,74018,29.815963684509168,20,30,44,41631,1890,20578,8639
2016,2232,73349,29.62862479379406,20,30,44,41271,2022,20787,8096
2017,2232,74904,30.151901100074763,20,30,44,40497,1869,23408,8061
2018,2232,74894,30.300771757417163,20,30,44,39894,1764,24409,7872
2019,2232,76523,30.394482704546334,20,30,40,40253,1859,26309,7338
2003,2235,102903,37.213346549663285,30,40,44,22505,23812,28552,25658
2004,2235,113324,37.14746214394126,30,40,44,25401,25649,32629,26761
2005,2235,127727,37.135108473541216,30,40,44,27514,29934,37564,29176
2006,2235,141244,37.09373141513976,30,40,44,31640,32226,40806,33024
2007,2235,155633,37.05429439771768,30,40,44,33723,34804,44724,36909
2008,2235,173536,37.14563548773743,30,40,44,36362,41448,46263,43486
2009,2235,195107,37.427898537725476,30,40,44,36562,44951,58638,48343
2010,2235,218386,37.27628602566097,30,40,44,42739,51466,64470,52096
2011,2235,244287,37.153196854519464,30,40,44,47836,58621,74190,54937
2012,2235,269076,36.92510666131501,30,40,44,60833,66426,71177,62194
2013,2235,303274,36.92426320752852,30,40,44,67440,77152,79518,69274
2014,2235,329073,36.90537054088301,30,37,44,73113,85628,86085,73176
2015,2235,338435,37.01679790801778,30,40,44,71149,88797,92620,73784
2016,2235,344848,37.020452489212644,30,40,44,71996,92460,95423,73962
2017,2235,363699,37.193074492918576,30,40,44,70904,98880,104492,77452
2018,2235,386435,37.22308020753812,30,40,44,74332,107195,111079,81228
2019,2235,399611,37.214773867586246,30,40,44,73171,115000,111357,80532
2003,3221,1417,39.2392378263938,24,44,44,242,130,123,909
2004,3221,1430,39.80629370629371,30,44,44,184,190,110,934
2005,3221,1682,39.839476813317475,30,44,44,256,221,94,1102
2006,3221,2071,40.35345243843554,30,44,44,232,284,210,1336
2007,3221,2311,40.29424491562093,30,44,44,264,303,260,1474
2008,3221,5401,39.56137752268097,26,44,44,786,295,720,3494
2009,3221,6045,39.718114143920566,25,44,44,865,350,465,4224
2010,3221,7044,40.09838160136286,30,44,44,900,497,441,5046
2011,3221,17411,41.57762334156569,36,44,44,1321,995,562,14203
2012,3221,21451,41.760990163628726,36,44,44,1458,1183,655,17708
2013,3221,22468,41.690626669040405,36,44,44,1642,1041,607,18659
2014,3221,23935,41.64194693962814,36,44,44,1773,1158,695,19728
2015,3221,25062,41.60230628042456,36,44,44,1879,1236,632,20690
2016,3221,26221,41.611914114640946,36,44,44,1976,1242,796,21517
2017,3221,26632,41.28972664463804,35,44,44,2247,1240,761,20974
2018,3221,26576,41.29801324503313,34,44,44,2330,1271,866,21269
2019,3221,27730,41.0365668950595,31,44,44,2769,1382,962,21589
2003,3222,557579,38.22799459807486,30,40,44,88346,165167,119448,170148
2004,3222,590315,38.21848843414109,30,40,44,93510,175895,123680,180838
2005,3222,633384,38.108157136902726,30,40,44,98245,194924,132530,187614
2006,3222,670144,38.19222435774994,30,40,44,98564,205289,144625,201452
2007,3222,716576,38.237960802482945,30,40,44,102463,220697,158389,215196
2008,3222,776688,38.1475109696558,30,40,44,114137,250923,157378,232321
2009,3222,818532,38.236304750455716,30,40,44,113912,263450,174867,242732
2010,3222,878078,38.20801227225828,30,40,44,121906,284810,190527,254879
2011,3222,938852,38.223944775108315,30,40,44,116035,309191,224076,260504
2012,3222,987454,37.83043260749361,30,36,44,156239,338345,190462,270212
2013,3222,1037275,37.75824347448844,30,36,44,163587,364098,196796,275541
2014,3222,1076605,37.58979198498985,30,36,44,180369,388151,195757,274341
2015,3222,1073321,37.61799126263253,30,36,44,168076,394253,201469,264466
2016,3222,1059911,37.55136799221822,30,36,44,170681,394815,199452,255984
2017,3222,1077843,37.59995843550499,30,36,44,164598,405208,212889,253216
2018,3222,1113982,37.59859135964496,30,36,44,165494,429986,220477,253898
2019,3222,1138683,37.54591137305112,30,36,44,167134,435131,218779,241827
