ano,cbo_familia,n_vinculos,n_cnae_subclasses,n_ufs,mean_horas,median_horas,mean_salario,n_ativos_3112
2003,3547,6913,0,26,43.19383769709244,44,,4380
2004,3547,6900,0,26,42.91434782608697,44,,4590
2005,3547,6704,0,26,42.904683770883054,44,,4312
2006,3547,6265,474,27,42.92306464485236,44,,4042
2007,3547,6795,493,27,43.069757174392926,44,,4326
2008,3547,7732,523,27,43.26422659079152,44,,4733
2009,3547,7263,549,27,43.37436321079447,44,,4102
2010,3547,7131,582,27,43.61800588977701,44,,4348
2011,3547,7481,601,27,42.89894399144499,44,,4513
2012,3547,7204,619,27,43.41962798445309,44,,4350
2003,4110,3890371,0,27,40.01404878866311,44,,3062078
2004,4110,4075173,0,28,40.22999514376448,44,,3177785
2005,4110,4313423,0,28,40.56479135016431,44,,3356659
2006,4110,4592578,1287,28,40.57992417330741,44,,3548413
2007,4110,4866696,1285,27,40.598119134624454,44,,3710703
2008,4110,5468558,1287,27,40.58482693243817,44,,4050682
2009,4110,5520144,1286,27,40.643627231463476,44,,4126021
2010,4110,5952367,1307,27,40.53074298006156,44,,4357256
2011,4110,6291623,1306,27,40.462562839509026,44,,4549442
2012,4110,6392519,1300,27,40.404685383023484,44,,4559375
2003,4212,15613,0,27,43.045218727983084,44,,10187
2004,4212,17480,0,27,43.026029748283754,44,,11116
2005,4212,18798,0,27,43.133844025960215,44,,11859
2006,4212,19692,263,27,43.247257769652634,44,,12149
2007,4212,20034,268,27,43.32315064390535,44,,12079
2008,4212,21382,260,27,43.384108128332244,44,,13551
2009,4212,23174,264,27,43.42306032622766,44,,14745
2010,4212,25597,289,27,43.39614017267648,44,,15770
2011,4212,27823,269,27,43.37095208999748,44,,16896
2012,4212,30902,257,27,43.40327486894053,44,,18638
2003,4221,575777,0,27,42.205416333059496,44,,395666
2004,4221,611863,0,27,42.21888886891348,44,,420460
2005,4221,658765,0,27,42.25102274711013,44,,450429
2006,4221,703277,1212,27,42.266550733210394,44,,477840
2007,4221,747463,1227,27,42.33585073776222,44,,500231
2008,4221,826663,1219,27,42.342128533634614,44,,537168
2009,4221,857971,1214,27,42.32398181290507,44,,567160
2010,4221,936119,1230,27,42.34784039208691,44,,608440
2011,4221,1003652,1242,27,42.35390952242413,44,,640926
2012,4221,1050193,1228,27,42.33927763753903,44,,666644
2003,4222,137039,0,27,36.54148089230073,36,,93872
2004,4222,96614,0,27,37.581758337301004,36,,70475
2005,4222,100631,0,27,37.578797785970515,36,,72245
2006,4222,106055,955,27,37.743425581066425,36,,76476
2007,4222,111951,945,27,37.618895766898,36,,78233
2008,4222,119818,951,27,37.63562236058023,36,,82167
2009,4222,122843,943,27,37.688594384702434,36,,84910
2010,4222,130463,955,27,37.646052903888474,36,,89607
2011,4222,154641,939,27,37.31974702698509,36,,108172
2012,4222,203671,930,27,36.716066597601014,36,,131268
2003,4223,222651,0,27,36.885879695128224,36,,125154
2004,4223,351604,0,27,36.280486001296914,36,,196266
2005,4223,431905,0,27,36.21543394959538,36,,241801
2006,4223,475810,770,27,36.194237195519264,36,,266369
2007,4223,569114,779,27,36.143827071553346,36,,304996
2008,4223,677999,794,27,36.173517955041234,36,,351012
2009,4223,687033,795,27,36.20102382272757,36,,353304
2010,4223,748882,825,27,36.22535593057383,36,,387717
2011,4223,882503,814,27,36.26212602110137,36,,413979
2012,4223,868804,816,27,36.01325960746032,36,,419743
