observation_date,rtfpna,year
1954-01-01,0.952063620090485,1954
1955-01-01,0.968268096446991,1955
1956-01-01,0.963096022605896,1956
1957-01-01,1.00433003902435,1957
1958-01-01,1.01697182655334,1958
1959-01-01,1.03277993202209,1959
1960-01-01,1.05768120288849,1960
1961-01-01,1.14931464195251,1961
1962-01-01,1.15444111824036,1962
1963-01-01,1.18293368816376,1963
1964-01-01,1.18473327159882,1964
1965-01-01,1.21372866630554,1965
1966-01-01,1.20465886592865,1966
1967-01-01,1.22331702709198,1967
1968-01-01,1.29643309116364,1968
1969-01-01,1.29270255565643,1969
1970-01-01,1.35050761699677,1970
1971-01-01,1.40582072734833,1971
1972-01-01,1.46889472007751,1972
1973-01-01,1.5080554485321,1973
1974-01-01,1.53628277778625,1974
1975-01-01,1.52281224727631,1975
1976-01-01,1.57840549945831,1976
1977-01-01,1.51627933979034,1977
1978-01-01,1.50173962116241,1978
1979-01-01,1.5610591173172,1979
1980-01-01,1.66019237041473,1980
1981-01-01,1.50330674648285,1981
1982-01-01,1.43036282062531,1982
1983-01-01,1.3537472486496,1983
1984-01-01,1.37761223316193,1984
1985-01-01,1.40815687179565,1985
1986-01-01,1.44353008270264,1986
1987-01-01,1.42747938632965,1987
1988-01-01,1.36918032169342,1988
1989-01-01,1.38412797451019,1989
1990-01-01,1.28442049026489,1990
1991-01-01,1.26557421684265,1991
1992-01-01,1.22577309608459,1992
1993-01-01,1.25510692596436,1993
1994-01-01,1.28627181053162,1994
1995-01-01,1.29068040847778,1995
1996-01-01,1.28493392467499,1996
1997-01-01,1.28410077095032,1997
1998-01-01,1.2561662197113,1998
1999-01-01,1.20888757705688,1999
2000-01-01,1.20935082435608,2000
2001-01-01,1.19310808181763,2001
2002-01-01,1.1849068403244,2002
2003-01-01,1.16794836521149,2003
2004-01-01,1.18073678016663,2004
2005-01-01,1.17700052261353,2005
2006-01-01,1.17689442634583,2006
2007-01-01,1.21182799339294,2007
2008-01-01,1.22258377075195,2008
2009-01-01,1.19080650806427,2009
2010-01-01,1.21533215045929,2010
2011-01-01,1.19660604000092,2011
2012-01-01,1.17986083030701,2012
2013-01-01,1.16381084918976,2013
2014-01-01,1.12862420082092,2014
2015-01-01,1.07513856887817,2015
2016-01-01,1.03783988952637,2016
2017-01-01,1.04225409030914,2017
2018-01-01,1.03375899791718,2018
2019-01-01,1.01136755943298,2019
2020-01-01,1.04424893856049,2020
2021-01-01,1.0,2021
2022-01-01,0.969752252101898,2022
2023-01-01,0.976752758026123,2023
