case,experiment,input_kind,efficiency_mode,h0,h1,sector,sigma_sub,omega,eta_I,e_q,peak,hours_mixing,kappa,A_req_pct,A_req_frozen_pct,dY_pct,dInf_pp,dGHH_pct,CE_pct,classification
0,CES_grid,reprocessed,bilateral,120.0,40,agriculture,1.1,0.55,0.3,0.6,40.0,0.0,0.0021098039890823555,-0.8795787552556833,-0.8464694540483597,1.1040097553367545,-0.2261196736781046,4.419696475184129,3.4620955722275673,sensitivity_not_identified_set
0,CES_grid,reprocessed,bilateral,120.0,40,industry,1.1,0.55,0.3,0.6,40.0,0.0,0.0021098039890823555,0.6287393298553212,0.6297944822924562,-0.62498743804561,0.031872915858693895,2.9403462153629696,2.303271202034326,sensitivity_not_identified_set
0,CES_grid,reprocessed,bilateral,120.0,40,services,1.1,0.55,0.3,0.6,40.0,0.0,0.0021098039890823555,-0.0653810312944203,-0.06596946118665459,0.06609084569613177,0.00041919161962167273,4.338871776012197,3.3987828912095535,sensitivity_not_identified_set
0,CES_grid,reprocessed,bilateral,120.0,40,AGGREGATE,1.1,0.55,0.3,0.6,40.0,0.0,0.0021098039890823555,0.02701278413870245,0.04461513771656378,-0.027639387150113492,-0.010300206724006555,4.02057233748778,3.1494483310320947,sensitivity_not_identified_set
0,CES_grid,reprocessed,bilateral,120.0,36,agriculture,1.1,0.55,0.3,0.6,40.0,0.0,0.0021098039890823555,4.24647953271915,4.083175999485844,-5.053693500531131,1.0515697299664062,-1.6197803598885248,-1.2688279485793446,sensitivity_not_identified_set
0,CES_grid,reprocessed,bilateral,120.0,36,industry,1.1,0.55,0.3,0.6,40.0,0.0,0.0021098039890823555,5.9236337934262195,5.935424090157704,-5.594010674847249,0.2919351577619578,0.5749526048439969,0.45037954046113093,sensitivity_not_identified_set
0,CES_grid,reprocessed,bilateral,120.0,36,services,1.1,0.55,0.3,0.6,40.0,0.0,0.0021098039890823555,4.805288558794696,4.850845855620989,-4.632953673797424,-0.03528923157287145,2.2541058780921452,1.7657162711721803,sensitivity_not_identified_set
0,CES_grid,reprocessed,bilateral,120.0,36,AGGREGATE,1.1,0.55,0.3,0.6,40.0,0.0,0.0021098039890823555,5.015276245223932,5.052788085123661,-4.88765007753832,0.11404840787955783,1.5998300016899887,1.2532001679904912,sensitivity_not_identified_set
0,CES_grid,reprocessed,flat_below,120.0,40,agriculture,1.1,0.55,0.3,0.6,40.0,0.0,0.0021098039890823555,-0.8702399495106428,-0.8374669009710733,1.091326361890732,-0.22342420896162007,4.403700624424959,3.449565489132885,sensitivity_not_identified_set
0,CES_grid,reprocessed,flat_below,120.0,40,industry,1.1,0.55,0.3,0.6,40.0,0.0,0.0021098039890823555,0.6234313216661569,0.624500071367784,-0.6197515354434135,0.031456682999392305,2.9470128981654757,2.3084934368962893,sensitivity_not_identified_set
