version,scenario,group,A,alpha,h0,h1,hI,h_star,omega,sigma_sub,eta_I,kappa,efficiency_mode,resource_costs,h_ref_efficiency,share_basis_input,formal_wedge,pi_m,normalization,identified_combination_tau_minus_pi_NI,N_total,K,gamma_F,NF_init,inf_target,share_total,input_share,share_formal_implied,NF_frozen
national_frozen,bilateral_40,Pequenas,1.0,0.35,44.0,40,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,2.4595596051165316,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,2.4595596051165316,0.4113441654357459,0.35,0.12,0.20567208271787296,0.5,0.6971935007385525,0.59,0.5900000000000001,0.20567208271787302
national_frozen,bilateral_40,Grandes,1.0,0.35,44.0,40,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,0.0,63.0702735245284,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,-2.2535744705440797,0.17865583456425405,0.65,0.03,0.14292466765140324,0.2,0.30280649926144754,0.41,0.41000000000000003,0.1429246676514032
national_frozen,bilateral_36,Pequenas,1.0,0.35,44.0,36,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,2.4595596051165316,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,2.4595596051165316,0.4113441654357459,0.35,0.12,0.20567208271787296,0.5,0.6971935007385525,0.59,0.5900000000000001,0.20567208271787302
national_frozen,bilateral_36,Grandes,1.0,0.35,44.0,36,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,0.0,63.0702735245284,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,-2.2535744705440797,0.17865583456425405,0.65,0.03,0.14292466765140324,0.2,0.30280649926144754,0.41,0.41000000000000003,0.1429246676514032
national_frozen,flat_below_40,Pequenas,1.0,0.35,44.0,40,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,2.464120682736606,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,2.464120682736606,0.4113441654357459,0.35,0.12,0.20567208271787296,0.5,0.6971935007385525,0.59,0.5900000000000001,0.20567208271787296
national_frozen,flat_below_40,Grandes,1.0,0.35,44.0,40,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,0.0,63.01911300460611,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,-2.251746445467388,0.17865583456425405,0.65,0.03,0.14292466765140324,0.2,0.30280649926144754,0.41,0.41000000000000003,0.14292466765140316
national_frozen,flat_below_36,Pequenas,1.0,0.35,44.0,36,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,2.464120682736606,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,2.464120682736606,0.4113441654357459,0.35,0.12,0.20567208271787296,0.5,0.6971935007385525,0.59,0.5900000000000001,0.20567208271787296
national_frozen,flat_below_36,Grandes,1.0,0.35,44.0,36,44.0,40.0,0.622,1.326,0.4,0.0021098039890823555,flat_below,False,42.244,formal,0.0,63.01911300460611,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,-2.251746445467388,0.17865583456425405,0.65,0.03,0.14292466765140324,0.2,0.30280649926144754,0.41,0.41000000000000003,0.14292466765140316
national_bridge_assumed,bilateral_40,Pequenas,1.0,0.35,44.0,40,44.0,40.0,0.5761673523170515,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,1.7907243569536733,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,1.7907243569536733,0.4113441654357459,0.35,0.12,0.20567208271787296,0.5,0.6971935007385525,0.59,0.5900000000000001,0.20567208271787285
national_bridge_assumed,bilateral_40,Grandes,1.0,0.35,44.0,40,44.0,40.0,0.5761673523170515,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,0.0,98.26343486981628,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,-3.5110671927634503,0.17865583456425405,0.65,0.03,0.14292466765140324,0.2,0.30280649926144754,0.41,0.41000000000000003,0.14292466765140324
national_bridge_assumed,bilateral_36,Pequenas,1.0,0.35,44.0,36,44.0,40.0,0.5761673523170515,1.326,0.4,0.0021098039890823555,bilateral,False,42.244,formal,1.7907243569536733,0.0,tau>=0; pi>=0; tau*pi=0; baseline FOC exact,1.7907243569536733,0.4113441654357459,0.35,0.12,0.20567208271787296,0.5,0.6971935007385525,0.59,0.5900000000000001,0.20567208271787285
