test,areq_agro,areq_ind,areq_serv,areq_agg,dY_agg,dCV_agg,spread_agro_ind,ranking,status
BASELINE,8.6651,7.3364,7.4279,7.5206,-7.2565,-2.0981,1.3287,agri(8.7%) > serv(7.4%) > indu(7.3%),OK
RT1a_theta_swap,7.8832,7.3364,8.1641,7.9547,-7.6376,-2.1015,0.5468,serv(8.2%) > agri(7.9%) > indu(7.3%),OK
RT1b_all_agro_theta,8.6651,7.7238,8.1641,8.1126,-7.7842,-2.1303,0.9413,agri(8.7%) > serv(8.2%) > indu(7.7%),OK
RT1c_all_serv_theta,7.8832,7.0383,7.4279,7.382,-7.1293,-2.0277,0.8449,agri(7.9%) > serv(7.4%) > indu(7.0%),OK
RT2_firmsize_3x2,9.0238,6.5448,7.2727,7.2804,-7.5995,-2.9149,2.479,agri(9.0%) > serv(7.3%) > indu(6.5%),OK
RT3a_agro_inf_40pct,8.1536,7.3364,7.4279,7.4635,-7.0347,-1.5887,0.8172,agri(8.2%) > serv(7.4%) > indu(7.3%),OK
RT3b_agro_inf_50pct,8.2463,7.3364,7.4279,7.4742,-7.104,-1.7844,0.9099,agri(8.2%) > serv(7.4%) > indu(7.3%),OK
RT3c_agro_inf_70pct,9.2844,7.3364,7.4279,7.5846,-7.4127,-2.3967,1.948,agri(9.3%) > serv(7.4%) > indu(7.3%),OK
RT4_equal_K,8.6651,7.3364,7.4279,7.6051,-7.4957,-2.4034,1.3287,agri(8.7%) > serv(7.4%) > indu(7.3%),OK
RT5a_sigma_hetero,9.3719,4.4491,7.4279,6.9848,-6.9641,-1.7427,4.9228,agri(9.4%) > serv(7.4%) > indu(4.4%),OK
RT5b_sigma_inverted,7.7305,8.6328,7.4279,7.725,-7.3243,-2.1773,-0.9023,indu(8.6%) > agri(7.7%) > serv(7.4%),OK
RT6a_sigma_1.5,10.9571,10.8887,10.3968,10.5457,-12.2668,-9.3937,0.0684,agri(11.0%) > indu(10.9%) > serv(10.4%),OK
RT6b_sigma_2.0,11.6369,11.8518,11.2302,11.3947,-14.7503,-12.9987,-0.2149,indu(11.9%) > agri(11.6%) > serv(11.2%),OK
RT6c_sigma_0.2,6.4231,0.2363,2.7339,2.5088,-3.0518,3.2972,6.1868,agri(6.4%) > serv(2.7%) > indu(0.2%),OK
